Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Minimal Wear),0,0,0,3
CZ75-Auto | The Fuschia Is Now (Minimal Wear),0,29,2,3
P250 | Undertow (Minimal Wear),0,29,2,3
CZ75-Auto | Victoria (Minimal Wear),0,29,3,3
Galil AR | Blue Titanium (Minimal Wear),0,30,0,3
Five-SeveN | Nightshade (Minimal Wear),0,30,0,3
PP-Bizon | Water Sigil (Minimal Wear),0,30,0,3
Nova | Ghost Camo (Minimal Wear),0,30,0,3
G3SG1 | Azure Zebra (Minimal Wear),0,30,0,3
P250 | Steel Disruption (Minimal Wear),0,30,0,3
AK-47 | Blue Laminate (Minimal Wear),0,30,1,3
P90 | Blind Spot (Minimal Wear),0,30,1,3
FAMAS | Afterimage (Minimal Wear),0,30,2,3
AWP | Electric Hive (Minimal Wear),0,30,2,3
Desert Eagle | Cobalt Disruption (Minimal Wear),0,30,2,3
M4A4 | X-Ray (Minimal Wear),0,30,3,3
MP5-SD | Acid Wash (Minimal Wear),0,31,0,3
Nova | Plume (Minimal Wear),0,31,0,3
G3SG1 | Black Sand (Minimal Wear),0,31,0,3
R8 Revolver | Memento (Minimal Wear),0,31,0,3
Dual Berettas | Balance (Minimal Wear),0,31,0,3
SCAR-20 | Torn (Minimal Wear),0,31,0,3
M249 | Warbird (Minimal Wear),0,31,0,3
PP-Bizon | Embargo (Minimal Wear),0,31,1,3
AK-47 | Rat Rod (Minimal Wear),0,31,1,3
AUG | Arctic Wolf (Minimal Wear),0,31,1,3
MP7 | Neon Ply (Minimal Wear),0,31,1,3
P2000 | Obsidian (Minimal Wear),0,31,1,3
Tec-9 | Decimator (Minimal Wear),0,31,2,3
SG 553 | Colony IV (Minimal Wear),0,31,2,3
SSG 08 | Bloodshot (Minimal Wear),0,31,2,3
AWP | Containment Breach (Minimal Wear),0,31,3,3
MAC-10 | Stalker (Minimal Wear),0,31,3,3
Tec-9 | Isaac (Minimal Wear),0,32,0,3
SSG 08 | Slashed (Minimal Wear),0,32,0,3
Galil AR | Kami (Minimal Wear),0,32,0,3
CZ75-Auto | Twist (Minimal Wear),0,32,0,3
P90 | Module (Minimal Wear),0,32,0,3
P2000 | Pulse (Minimal Wear),0,32,0,3
AUG | Torque (Minimal Wear),0,32,1,3
PP-Bizon | Antique (Minimal Wear),0,32,1,3
XM1014 | Heaven Guard (Minimal Wear),0,32,1,3
MAC-10 | Tatter (Minimal Wear),0,32,1,3
M4A1-S | Atomic Alloy (Minimal Wear),0,32,2,3
SCAR-20 | Cyrex (Minimal Wear),0,32,2,3
USP-S | Caiman (Minimal Wear),0,32,2,3
AK-47 | Vulcan (Minimal Wear),0,32,3,3
M4A4 | Desert-Strike (Minimal Wear),0,32,3,3
G3SG1 | Murky (Minimal Wear),0,33,0,3
MAG-7 | Firestarter (Minimal Wear),0,33,0,3
MP9 | Dart (Minimal Wear),0,33,0,3
Five-SeveN | Urban Hazard (Minimal Wear),0,33,0,3
UMP-45 | Delusion (Minimal Wear),0,33,0,3
Glock-18 | Grinder (Minimal Wear),0,33,1,3
M4A1-S | Basilisk (Minimal Wear),0,33,1,3
M4A4 | Griffin (Minimal Wear),0,33,1,3
Sawed-Off | Highwayman (Minimal Wear),0,33,1,3
P250 | Cartel (Minimal Wear),0,33,2,3
SCAR-20 | Cardiac (Minimal Wear),0,33,2,3
XM1014 | Tranquility (Minimal Wear),0,33,2,3
AK-47 | Wasteland Rebel (Minimal Wear),0,33,3,3
P2000 | Fire Elemental (Minimal Wear),0,33,3,3
Galil AR | Sandstorm (Minimal Wear),0,34,0,3
Five-SeveN | Kami (Minimal Wear),0,34,0,3
M249 | Magma (Minimal Wear),0,34,0,3
PP-Bizon | Cobalt Halftone (Minimal Wear),0,34,0,3
FAMAS | Pulse (Minimal Wear),0,34,1,3
Dual Berettas | Marina (Minimal Wear),0,34,1,3
MP9 | Rose Iron (Minimal Wear),0,34,1,3
Nova | Rising Skull (Minimal Wear),0,34,1,3
M4A1-S | Guardian (Minimal Wear),0,34,2,3
P250 | Mehndi (Minimal Wear),0,34,2,3
AWP | Redline (Minimal Wear),0,34,2,3
M4A4 | Asiimov (Minimal Wear),0,34,3,3
Sawed-Off | The Kraken (Minimal Wear),0,34,3,3
