Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Field-Tested),0,0,0,2
G3SG1 | Black Sand (Field-Tested),0,31,0,2
R8 Revolver | Memento (Field-Tested),0,31,0,2
Dual Berettas | Balance (Field-Tested),0,31,0,2
SCAR-20 | Torn (Field-Tested),0,31,0,2
M249 | Warbird (Field-Tested),0,31,0,2
PP-Bizon | Embargo (Field-Tested),0,31,1,2
AK-47 | Rat Rod (Field-Tested),0,31,1,2
AUG | Arctic Wolf (Field-Tested),0,31,1,2
MP7 | Neon Ply (Field-Tested),0,31,1,2
P2000 | Obsidian (Field-Tested),0,31,1,2
Tec-9 | Decimator (Field-Tested),0,31,2,2
SG 553 | Colony IV (Field-Tested),0,31,2,2
SSG 08 | Bloodshot (Field-Tested),0,31,2,2
AWP | Containment Breach (Field-Tested),0,31,3,2
MAC-10 | Stalker (Field-Tested),0,31,3,2
Tec-9 | Isaac (Field-Tested),0,32,0,2
SSG 08 | Slashed (Field-Tested),0,32,0,2
Galil AR | Kami (Field-Tested),0,32,0,2
CZ75-Auto | Twist (Field-Tested),0,32,0,2
P90 | Module (Field-Tested),0,32,0,2
P2000 | Pulse (Field-Tested),0,32,0,2
AUG | Torque (Field-Tested),0,32,1,2
PP-Bizon | Antique (Field-Tested),0,32,1,2
XM1014 | Heaven Guard (Field-Tested),0,32,1,2
MAC-10 | Tatter (Field-Tested),0,32,1,2
M4A1-S | Atomic Alloy (Field-Tested),0,32,2,2
SCAR-20 | Cyrex (Field-Tested),0,32,2,2
USP-S | Caiman (Field-Tested),0,32,2,2
AK-47 | Vulcan (Field-Tested),0,32,3,2
M4A4 | Desert-Strike (Field-Tested),0,32,3,2
G3SG1 | Murky (Field-Tested),0,33,0,2
MAG-7 | Firestarter (Field-Tested),0,33,0,2
MP9 | Dart (Field-Tested),0,33,0,2
Five-SeveN | Urban Hazard (Field-Tested),0,33,0,2
UMP-45 | Delusion (Field-Tested),0,33,0,2
Glock-18 | Grinder (Field-Tested),0,33,1,2
M4A1-S | Basilisk (Field-Tested),0,33,1,2
M4A4 | Griffin (Field-Tested),0,33,1,2
Sawed-Off | Highwayman (Field-Tested),0,33,1,2
P250 | Cartel (Field-Tested),0,33,2,2
SCAR-20 | Cardiac (Field-Tested),0,33,2,2
XM1014 | Tranquility (Field-Tested),0,33,2,2
AK-47 | Wasteland Rebel (Field-Tested),0,33,3,2
P2000 | Fire Elemental (Field-Tested),0,33,3,2
Galil AR | Sandstorm (Field-Tested),0,34,0,2
Five-SeveN | Kami (Field-Tested),0,34,0,2
M249 | Magma (Field-Tested),0,34,0,2
PP-Bizon | Cobalt Halftone (Field-Tested),0,34,0,2
FAMAS | Pulse (Field-Tested),0,34,1,2
Dual Berettas | Marina (Field-Tested),0,34,1,2
MP9 | Rose Iron (Field-Tested),0,34,1,2
Nova | Rising Skull (Field-Tested),0,34,1,2
M4A1-S | Guardian (Field-Tested),0,34,2,2
P250 | Mehndi (Field-Tested),0,34,2,2
AWP | Redline (Field-Tested),0,34,2,2
M4A4 | Asiimov (Field-Tested),0,34,3,2
Sawed-Off | The Kraken (Field-Tested),0,34,3,2
