Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Factory New),0,0,0,4
XM1014 | Tranquility (Factory New),0,33,2,4
AK-47 | Wasteland Rebel (Factory New),0,33,3,4
P2000 | Fire Elemental (Factory New),0,33,3,4
Galil AR | Sandstorm (Factory New),0,34,0,4
Five-SeveN | Kami (Factory New),0,34,0,4
M249 | Magma (Factory New),0,34,0,4
PP-Bizon | Cobalt Halftone (Factory New),0,34,0,4
FAMAS | Pulse (Factory New),0,34,1,4
Dual Berettas | Marina (Factory New),0,34,1,4
MP9 | Rose Iron (Factory New),0,34,1,4
Nova | Rising Skull (Factory New),0,34,1,4
M4A1-S | Guardian (Factory New),0,34,2,4
P250 | Mehndi (Factory New),0,34,2,4
AWP | Redline (Factory New),0,34,2,4
M4A4 | Asiimov (Factory New),0,34,3,4
Sawed-Off | The Kraken (Factory New),0,34,3,4
