Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Battle-Scarred),0,0,0,0
P90 | Death Grip (Battle-Scarred),0,28,1,0
SSG 08 | Death's Head (Battle-Scarred),0,28,1,0
Dual Berettas | Cobra Strike (Battle-Scarred),0,28,2,0
Galil AR | Sugar Rush (Battle-Scarred),0,28,2,0
M4A4 | Hellfire (Battle-Scarred),0,28,2,0
Five-SeveN | Hyper Beast (Battle-Scarred),0,28,3,0
AWP | Oni Taiji (Battle-Scarred),0,28,3,0
CZ75-Auto | Crimson Web (Battle-Scarred),0,29,0,0
P2000 | Red FragCam (Battle-Scarred),0,29,0,0
Dual Berettas | Panther (Battle-Scarred),0,29,0,0
USP-S | Stainless (Battle-Scarred),0,29,0,0
Glock-18 | Blue Fissure (Battle-Scarred),0,29,0,0
CZ75-Auto | Tread Plate (Battle-Scarred),0,29,1,0
Tec-9 | Titanium Bit (Battle-Scarred),0,29,1,0
Desert Eagle | Heirloom (Battle-Scarred),0,29,1,0
Five-SeveN | Copper Galaxy (Battle-Scarred),0,29,1,0
CZ75-Auto | The Fuschia Is Now (Battle-Scarred),0,29,2,0
P250 | Undertow (Battle-Scarred),0,29,2,0
CZ75-Auto | Victoria (Battle-Scarred),0,29,3,0
Galil AR | Blue Titanium (Battle-Scarred),0,30,0,0
Five-SeveN | Nightshade (Battle-Scarred),0,30,0,0
PP-Bizon | Water Sigil (Battle-Scarred),0,30,0,0
Nova | Ghost Camo (Battle-Scarred),0,30,0,0
G3SG1 | Azure Zebra (Battle-Scarred),0,30,0,0
P250 | Steel Disruption (Battle-Scarred),0,30,0,0
AK-47 | Blue Laminate (Battle-Scarred),0,30,1,0
P90 | Blind Spot (Battle-Scarred),0,30,1,0
FAMAS | Afterimage (Battle-Scarred),0,30,2,0
AWP | Electric Hive (Battle-Scarred),0,30,2,0
Desert Eagle | Cobalt Disruption (Battle-Scarred),0,30,2,0
M4A4 | X-Ray (Battle-Scarred),0,30,3,0
MP5-SD | Acid Wash (Battle-Scarred),0,31,0,0
Nova | Plume (Battle-Scarred),0,31,0,0
G3SG1 | Black Sand (Battle-Scarred),0,31,0,0
R8 Revolver | Memento (Battle-Scarred),0,31,0,0
Dual Berettas | Balance (Battle-Scarred),0,31,0,0
SCAR-20 | Torn (Battle-Scarred),0,31,0,0
M249 | Warbird (Battle-Scarred),0,31,0,0
PP-Bizon | Embargo (Battle-Scarred),0,31,1,0
AK-47 | Rat Rod (Battle-Scarred),0,31,1,0
AUG | Arctic Wolf (Battle-Scarred),0,31,1,0
MP7 | Neon Ply (Battle-Scarred),0,31,1,0
P2000 | Obsidian (Battle-Scarred),0,31,1,0
Tec-9 | Decimator (Battle-Scarred),0,31,2,0
SG 553 | Colony IV (Battle-Scarred),0,31,2,0
SSG 08 | Bloodshot (Battle-Scarred),0,31,2,0
AWP | Containment Breach (Battle-Scarred),0,31,3,0
MAC-10 | Stalker (Battle-Scarred),0,31,3,0
Tec-9 | Isaac (Battle-Scarred),0,32,0,0
SSG 08 | Slashed (Battle-Scarred),0,32,0,0
Galil AR | Kami (Battle-Scarred),0,32,0,0
CZ75-Auto | Twist (Battle-Scarred),0,32,0,0
P90 | Module (Battle-Scarred),0,32,0,0
P2000 | Pulse (Battle-Scarred),0,32,0,0
AUG | Torque (Battle-Scarred),0,32,1,0
PP-Bizon | Antique (Battle-Scarred),0,32,1,0
XM1014 | Heaven Guard (Battle-Scarred),0,32,1,0
MAC-10 | Tatter (Battle-Scarred),0,32,1,0
M4A1-S | Atomic Alloy (Battle-Scarred),0,32,2,0
SCAR-20 | Cyrex (Battle-Scarred),0,32,2,0
USP-S | Caiman (Battle-Scarred),0,32,2,0
AK-47 | Vulcan (Battle-Scarred),0,32,3,0
M4A4 | Desert-Strike (Battle-Scarred),0,32,3,0
G3SG1 | Murky (Battle-Scarred),0,33,0,0
MAG-7 | Firestarter (Battle-Scarred),0,33,0,0
MP9 | Dart (Battle-Scarred),0,33,0,0
Five-SeveN | Urban Hazard (Battle-Scarred),0,33,0,0
UMP-45 | Delusion (Battle-Scarred),0,33,0,0
Glock-18 | Grinder (Battle-Scarred),0,33,1,0
M4A1-S | Basilisk (Battle-Scarred),0,33,1,0
M4A4 | Griffin (Battle-Scarred),0,33,1,0
Sawed-Off | Highwayman (Battle-Scarred),0,33,1,0
P250 | Cartel (Battle-Scarred),0,33,2,0
SCAR-20 | Cardiac (Battle-Scarred),0,33,2,0
XM1014 | Tranquility (Battle-Scarred),0,33,2,0
AK-47 | Wasteland Rebel (Battle-Scarred),0,33,3,0
P2000 | Fire Elemental (Battle-Scarred),0,33,3,0
Galil AR | Sandstorm (Battle-Scarred),0,34,0,0
Five-SeveN | Kami (Battle-Scarred),0,34,0,0
M249 | Magma (Battle-Scarred),0,34,0,0
PP-Bizon | Cobalt Halftone (Battle-Scarred),0,34,0,0
FAMAS | Pulse (Battle-Scarred),0,34,1,0
Dual Berettas | Marina (Battle-Scarred),0,34,1,0
MP9 | Rose Iron (Battle-Scarred),0,34,1,0
Nova | Rising Skull (Battle-Scarred),0,34,1,0
M4A1-S | Guardian (Battle-Scarred),0,34,2,0
P250 | Mehndi (Battle-Scarred),0,34,2,0
AWP | Redline (Battle-Scarred),0,34,2,0
M4A4 | Asiimov (Battle-Scarred),0,34,3,0
Sawed-Off | The Kraken (Battle-Scarred),0,34,3,0
